submit_date,test_id,PM2.5,PM10,O3
2018-02-28,dongsi_aq#0,8.0,45.0,63.0
2018-02-28,dongsi_aq#1,12.0,49.0,65.0
2018-02-28,dongsi_aq#2,12.0,36.0,67.0
2018-02-28,dongsi_aq#3,11.0,34.0,75.0
2018-02-28,dongsi_aq#4,8.0,17.0,84.0
2018-02-28,dongsi_aq#5,5.0,9.0,87.0
2018-02-28,dongsi_aq#6,8.0,22.0,83.0
2018-02-28,dongsi_aq#7,12.0,35.0,85.0
2018-02-28,dongsi_aq#8,14.0,50.0,84.0
2018-02-28,dongsi_aq#9,21.0,71.0,
2018-02-28,dongsi_aq#10,,89.0,
2018-02-28,dongsi_aq#11,41.0,93.0,75.0
2018-02-28,dongsi_aq#12,37.0,83.0,70.0
2018-02-28,dongsi_aq#13,33.0,75.0,65.0
2018-02-28,dongsi_aq#14,36.0,72.0,56.0
2018-02-28,dongsi_aq#15,41.0,77.0,52.0
2018-02-28,dongsi_aq#16,58.0,91.0,37.0
2018-02-28,dongsi_aq#17,65.0,108.0,30.0
2018-02-28,dongsi_aq#18,70.0,99.0,28.0
2018-02-28,dongsi_aq#19,58.0,81.0,34.0
2018-02-28,dongsi_aq#20,54.0,72.0,36.0
2018-02-28,dongsi_aq#21,57.0,72.0,35.0
2018-02-28,dongsi_aq#22,55.0,68.0,31.0
2018-02-28,dongsi_aq#23,49.0,66.0,23.0
2018-02-28,dongsi_aq#24,55.0,73.0,19.0
2018-02-28,dongsi_aq#25,54.0,74.0,25.0
2018-02-28,dongsi_aq#26,60.0,73.0,28.0
2018-02-28,dongsi_aq#27,63.0,78.0,35.0
2018-02-28,dongsi_aq#28,70.0,78.0,44.0
2018-02-28,dongsi_aq#29,69.0,81.0,47.0
2018-02-28,dongsi_aq#30,77.0,85.0,56.0
2018-02-28,dongsi_aq#31,74.0,91.0,71.0
2018-02-28,dongsi_aq#32,77.0,93.0,76.0
2018-02-28,dongsi_aq#33,81.0,104.0,88.0
2018-02-28,dongsi_aq#34,91.0,118.0,87.0
2018-02-28,dongsi_aq#35,96.0,126.0,78.0
2018-02-28,dongsi_aq#36,107.0,138.0,68.0
2018-02-28,dongsi_aq#37,119.0,150.0,42.0
2018-02-28,dongsi_aq#38,130.0,188.0,29.0
2018-02-28,dongsi_aq#39,145.0,210.0,35.0
2018-02-28,dongsi_aq#40,140.0,172.0,37.0
2018-02-28,dongsi_aq#41,148.0,149.0,22.0
2018-02-28,dongsi_aq#42,180.0,231.0,8.0
2018-02-28,dongsi_aq#43,170.0,213.0,10.0
2018-02-28,dongsi_aq#44,180.0,205.0,5.0
2018-02-28,dongsi_aq#45,183.0,196.0,5.0
2018-02-28,dongsi_aq#46,164.0,186.0,5.0
2018-02-28,dongsi_aq#47,145.0,165.0,5.0
2018-02-28,tiantan_aq#0,9.0,53.0,61.0
2018-02-28,tiantan_aq#1,13.0,51.0,68.0
2018-02-28,tiantan_aq#2,10.0,43.0,69.0
2018-02-28,tiantan_aq#3,10.0,40.0,75.0
2018-02-28,tiantan_aq#4,5.0,29.0,87.0
2018-02-28,tiantan_aq#5,11.0,20.0,91.0
2018-02-28,tiantan_aq#6,10.0,29.0,90.0
2018-02-28,tiantan_aq#7,10.0,35.0,94.0
2018-02-28,tiantan_aq#8,12.0,47.0,93.0
2018-02-28,tiantan_aq#9,20.0,66.0,87.0
2018-02-28,tiantan_aq#10,26.0,69.0,
2018-02-28,tiantan_aq#11,26.0,75.0,85.0
2018-02-28,tiantan_aq#12,30.0,76.0,76.0
